id;area;master_area
10000003;CIENCIAS EXATAS E DA TERRA;10000003
10100008;MATEMATICA ;10000003
10101004;ALGEBRA;10100008
10101012;CONJUNTOS;10100008
10101020;LOGICA MATEMATICA;10100008
10101039;TEORIA DOS NUMEROS;10100008
10101047;GRUPO DE ALGEBRA NAO-COMUTATIVA;10100008
10101055;ALGEBRA COMUTATIVA;10100008
10101063;GEOMETRIA ALGEBRICA;10100008
10102000;ANALISE;10100008
10102019;ANALISE COMPLEXA;10100008
10102027;ANALISE FUNCIONAL;10100008
10102035;ANALISE FUNCIONAL NAO-LINEAR;10100008
10102043;EQUACOES DIFERENCIAIS ORDINARIAS;10100008
10102051;EQUACOES DIFERENCIAIS PARCIAIS;10100008
10102060;EQUACOES DIFERENCIAIS FUNCIONAIS;10100008
10103007;GEOMETRIA E TOPOLOGIA;10100008
10103015;GEOMETRIA DIFERENCIAL;10100008
10103023;TOPOLOGIA ALGEBRICA;10100008
10103031;TOPOLOGIA DAS VARIEDADES;10100008
10103040;SISTEMAS DINAMICOS;10100008
10103058;TEORIA DAS SINGULARIDADES E TEORIA DAS CATASTROFES;10100008
10103066;TEORIA DAS FOLHEACOES;10100008
10104003;MATEMATICA APLICADA;10100008
10104011;FISICA MATEMATICA;10100008
10104020;ANALISE NUMERICA;10100008
10104038;MATEMATICA DISCRETA E COMBINATORIA;10100008
10200002;PROBABILIDADE E ESTATISTICA;10000003
10201017;TEORIA GERAL E FUNDAMENTOS DA PROBABILIDADE;10200002
10201025;TEORIA GERAL E PROCESSOS ESTOCASTICOS;10200002
10201033;TEOREMAS DE LIMITE;10200002
10201041;PROCESSOS MARKOVIANOS;10200002
10201050;ANALISE ESTOCASTICA;10200002
10201068;PROCESSOS ESTOCASTICOS ESPECIAIS;10200002
10202005;ESTATISTICA;10200002
10202013;FUNDAMENTOS DA ESTATISTICA;10200002
10202021;INFERENCIA PARAMETRICA;10200002
10202030;INFERENCIA NAO-PARAMETRICA;10200002
10202048;INFERENCIA EM PROCESSOS ESTOCASTICOS;10200002
10202056;ANALISE MULTIVARIADA;10200002
10202064;REGRESSAO E CORRELACAO;10200002
10202072;PLANEJAMENTO DE EXPERIMENTOS;10200002
10202080;ANALISE DE DADOS;10200002
10203001;PROBABILIDADE E ESTATISTICA APLICADAS  ;10200002
10300007;CIENCIA DA COMPUTACAO ;10000003
10301003;TEORIA DA COMPUTACAO;10300007
10301011;COMPUTABILIDADE E MODELOS DE COMPUTACAO;10300007
10301020;LINGUAGEM FORMAIS E AUTOMATOS;10300007
10301038;ANALISE DE ALGORITMOS E COMPLEXIDADE DE COMPUTACAO;10300007
10301046;LOGICAS E SEMANTICA DE PROGRAMAS;10300007
10302000;MATEMATICA DA COMPUTACAO;10300007
10302018;MATEMATICA SIMBOLICA;10300007
10302026;MODELOS ANALITICOS E DE SIMULACAO;10300007
10303006;METODOLOGIA E TECNICAS DA COMPUTACAO;10300007
10303014;LINGUAGENS DE PROGRAMACAO;10300007
10303022;ENGENHARIA DE SOFTWARE;10300007
10303030;BANCO DE DADOS;10300007
10303049;SISTEMAS DE INFORMACAO;10300007
10303057;PROCESSAMENTO GRAFICO (GRAPHICS);10300007
10304002;SISTEMA DE COMPUTACAO;10300007
10304010;HARDWARE;10300007
10304029;ARQUITETURA DE SISTEMAS DE COMPUTACAO;10300007
10304037;SOFTWARE BASICO;10300007
10304045;TELEINFORMATICA;10300007
10400001;ASTRONOMIA ;10000003
10401008;ASTRONOMIA DE POSICAO E MECANICA CELESTE;10400001
10401016;ASTRONOMIA FUNDAMENTAL;10400001
10401024;ASTRONOMIA DINAMICA;10400001
10402004;ASTROFISICA ESTELAR;10400001
10403000;ASTROFISICA DO MEIO INTERESTELAR;10400001
10403019;MEIO INTERESTELAR;10400001
10403027;NEBULOSA;10400001
10404007;ASTROFISICA EXTRAGALATICA;10400001
10404015;GALAXIAS;10400001
10404023;AGLOMERADOS DE GALAXIAS;10400001
10404031;QUASARES;10400001
10404040;COSMOLOGIA;10400001
10405003;ASTROFISICA DO SISTEMA SOLAR;10400001
10405011;FISICA SOLAR;10400001
10405020;MOVIMENTO DA TERRA;10400001
10405038;SISTEMA PLANETARIO;10400001
10406000;INSTRUMENTACAO ASTRONOMICA;10400001
10406018;ASTRONOMIA OTICA;10400001
10406026;RADIOASTRONOMIA;10400001
10406034;ASTRONOMIA ESPACIAL;10400001
10406042;PROCESSAMENTO DE DADOS ASTRONOMICOS;10400001
10500006;FISICA;10000003
10501002;FISICA GERAL;10500006
10501010;METODOS MATEMATICOS DA FISICA;10500006
10501029;FISICA CLASSICA E FISICA QUANTICA MECANICA E CAMPOS;10500006
10501037;RELATIVIDADE E GRAVITACAO;10500006
10501045;FISICA ESTATISTICA E TERMODINAMICA;10500006
10501053;METROLOGIA TECN. GER. DE LAB. E SIST. DE INSTRUMENTACAO;10500006
10501061;INSTRUMENTACAO ESPECIFICA DE USO GERAL EM FISICA;10500006
10502009;AREAS CLASSICAS DE FENOMENOLOGIA E SUAS APLICACOES;10500006
10502017;ELETRICIDADE E MAGNETISMO CAMPOS E PARTICULAS CARREGADAS;10500006
10502025;OTICA;10500006
10502033;ACUSTICA;10500006
10502041;TRANSFERENCIA DE CALOR PROCESSOS TERMICOS E TERMODINAMICOS;10500006
10502050;MECANICA ELASTICIDADE E REOLOGIA;10500006
10502068;DINAMICA DOS FLUIDOS;10500006
10503005;FISICA DAS PARTICULAS ELEMENTARES E CAMPOS;10500006
10503013;TEORIA GERAL DE PARTICULAS E CAMPOS;10500006
10503021;TEOR.ESP.E MOD.DE INTERACAO SIST.DE PARTICULAS R.COSMICOS;10500006
